ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: inline_featured_image,Meta: edition_group,Meta: _edition_group,Meta: edition_id,Meta: _edition_id,Meta: artist_name,Meta: _artist_name,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score,Meta: edition_subtitle,Meta: _edition_subtitle,Meta: author,Meta: _author,Meta: sub-header,Meta: _sub-header,Meta: header_image,Meta: _header_image,,ID2,Name2,Short description2,Tax status2,Tax class2,In stock?2,Stock2,Weight (kg)2,Length (cm)2,Width (cm)2,Height (cm)2,Regular price2,Shipping class2,Group2,Number2,Edition2,Subtitle2
595,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/55-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-55,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,595,Chiang Mai,"Brian Clarke, Chiang Mai, 2017, Stained glass in wooden frame, 204 x 252 cm",taxable,,1,,,,,,,,G,2-3,G2-3,Brian Clarke
597,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/56-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-56,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,597,Lincoln’s Inn,"Brian Clarke, Lincoln’s Inn, 2017, Stained glass in wooden frame, 204 x 252 cm",taxable,,1,,,,,,,,G,2-4,G2-4,Brian Clarke
599,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/58-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-58,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,599,Riyadh,"Brian Clarke, Riyadh, 2017, Stained glass in wooden frame, 204 x 252 cm",taxable,,1,,,,,,,,G,2-5,G2-5,Brian Clarke
601,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/65-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-65,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,601,Katoomba,"Brian Clarke, Katoomba, 2017, Stained glass in wooden frame, 204 x 252 cm",taxable,,1,,,,,,,,G,2-6,G2-6,Brian Clarke
603,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/59-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-59,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,603,Lancaster,"Brian Clarke, Lancaster, 2017, Stained glass in wooden frame, 204 x 252 cm",taxable,,1,,,,,,,,G,2-7,G2-7,Brian Clarke
605,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/60-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-60,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,605,Ascot,"Brian Clarke, Ascot, 2017, Stained glass in wooden frame, 204 x 252 cm",taxable,,1,,,,,,,,G,2-8,G2-8,Brian Clarke
607,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/61-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-61,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,607,Wall Street,"Brian Clarke, Wall Street, 2017, Stained glass in wooden frame, 204 x 252 cm",taxable,,1,,,,,,,,G,2-9,G2-9,Brian Clarke
609,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/62-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-62,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,609,Fez,"Brian Clarke, Fez, 2017, Stained glass in wooden frame, 204 x 252 cm",taxable,,1,,,,,,,,G,2-10,G2-10,Brian Clarke
611,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/63-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-63,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,611,Leipzig,"Brian Clarke, Leipzig, 2017, Stained glass in wooden frame, 204 x 252 cm",taxable,,1,,,,,,,,G,2-11,G2-11,Brian Clarke
613,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/64-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-64,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,613,Hamburg,"Brian Clarke, Hamburg, 2017, Stained glass in wooden frame, 204 x 252 cm",taxable,,1,,,,,,,,G,2-12,G2-12,Brian Clarke
615,simple,,Malibu,1,0,visible,"Brian Clarke
Malibu
2017
Stained glass in wooden frame
204 x 252 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/G2-13.png,,,,,,,,,0,0,275,field_5accc8de1bcea,G2-13,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,615,Malibu,"Brian Clarke, Malibu, 2017, Stained glass in wooden frame, 204 x 252 cm",taxable,,1,,,,,,,,G,2-13,G2-13,Brian Clarke
